Args:
	algorithm: MCR
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/svdsvm/svd_5
	seed: 0
	steps: None
	test_envs: [5]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	classification: svd
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	n_comp: 6
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.9992500536  0.9824260609  0.9998928648  0.9897128161  0.9997857296  0.9931418774  0.9996785944  0.9918559794  0.9989285332  0.9828546935  0.9530697525  0.9537076725  7100.0000000  -23.13300342  7100          0.2708807993 
0.9993571888  0.9854264895  0.9998928648  0.9892841835  0.9998928648  0.9914273468  0.9996785944  0.9931418774  0.9991428265  0.9815687955  0.9529626058  0.9537076725  7200.0000000  -23.12646087  7200          0.2676669097 
0.9992500536  0.9845692242  0.9997857296  0.9897128161  0.9997857296  0.9892841835  0.9995714592  0.9931418774  0.9989285332  0.9802828976  0.9521054323  0.9575653665  7300.0000000  -23.14193616  7300          0.2739248061 
0.9995714592  0.9858551222  1.0000000000  0.9901414488  0.9998928648  0.9918559794  0.9996785944  0.9927132447  0.9991428265  0.9837119589  0.9539269260  0.9545649378  7400.0000000  -23.15582286  7400          0.2763105488 
0.9995714592  0.9841405915  1.0000000000  0.9888555508  0.9998928648  0.9918559794  0.9996785944  0.9948564081  0.9991428265  0.9819974282  0.9544626594  0.9631375911  7500.0000000  -23.15465581  7500          0.2813708138 
0.9995714592  0.9837119589  1.0000000000  0.9909987141  0.9998928648  0.9897128161  0.9996785944  0.9931418774  0.9992499732  0.9832833262  0.9467480981  0.9502786112  7600.0000000  -23.16243625  7600          0.2771270466 
0.9995714592  0.9841405915  1.0000000000  0.9892841835  0.9998928648  0.9922846121  0.9996785944  0.9914273468  0.9991428265  0.9832833262  0.9513554056  0.9541363052  7700.0000000  -23.17745971  7700          0.2774724269 
0.9995714592  0.9858551222  1.0000000000  0.9901414488  0.9998928648  0.9905700814  0.9996785944  0.9939991427  0.9991428265  0.9845692242  0.9512482589  0.9541363052  7800.0000000  -23.16403184  7800          0.2716727352 
0.9995714592  0.9845692242  1.0000000000  0.9879982855  0.9998928648  0.9918559794  0.9996785944  0.9935705101  0.9991428265  0.9858551222  0.9539269260  0.9558508358  7900.0000000  -23.17714822  7900          0.2734873343 
0.9995714592  0.9832833262  1.0000000000  0.9884269181  0.9998928648  0.9918559794  0.9996785944  0.9952850407  0.9991428265  0.9794256322  0.9481410050  0.9519931419  8000.0000000  -23.17239444  8000          0.2699016690 
