Args:
	algorithm: ERM
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/erm/256_60_e3
	seed: 0
	steps: None
	test_envs: [3]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9892841835  0.9922862653  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  8300.0000000  0.0002974916  8300          0.1694643307 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9922862653  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9901414488  8400.0000000  0.0002824128  8400          0.1695914030 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9892841835  0.9923934005  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9892841835  8500.0000000  0.0002683072  8500          0.1684507108 
1.0000000000  0.9845692242  1.0000000000  0.9914273468  1.0000000000  0.9888555508  0.9921791301  0.9905700814  1.0000000000  0.9901414488  1.0000000000  0.9897128161  8600.0000000  0.0002547069  8600          0.1690019965 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9888555508  0.9922862653  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9897128161  8700.0000000  0.0002418726  8700          0.1690287781 
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9923934005  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9901414488  8800.0000000  0.0002296695  8800          0.1674639606 
1.0000000000  0.9849978568  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9921791301  0.9914273468  1.0000000000  0.9905700814  1.0000000000  0.9901414488  8900.0000000  0.0002181811  8900          0.1690906835 
1.0000000000  0.9845692242  1.0000000000  0.9914273468  1.0000000000  0.9892841835  0.9922862653  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9888555508  9000.0000000  0.0002072201  9000          0.1671021509 
1.0000000000  0.9849978568  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9920719949  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9892841835  9100.0000000  0.0001968718  9100          0.1695171142 
1.0000000000  0.9854264895  1.0000000000  0.9918559794  1.0000000000  0.9892841835  0.9922862653  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9901414488  9200.0000000  0.0001869965  9200          0.1665759301 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9888555508  0.9928219413  0.9914273468  1.0000000000  0.9901414488  1.0000000000  0.9892841835  9300.0000000  0.0001776592  9300          0.1698682666 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9888555508  0.9922862653  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  9400.0000000  0.0001688508  9400          0.1676396322 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9892841835  0.9925005357  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9888555508  9500.0000000  0.0001603201  9500          0.1684295630 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9888555508  0.9922862653  0.9914273468  1.0000000000  0.9905700814  1.0000000000  0.9897128161  9600.0000000  0.0001522986  9600          0.1680680037 
1.0000000000  0.9845692242  1.0000000000  0.9914273468  1.0000000000  0.9888555508  0.9921791301  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9888555508  9700.0000000  0.0001447387  9700          0.1690662169 
1.0000000000  0.9849978568  1.0000000000  0.9905700814  1.0000000000  0.9888555508  0.9920719949  0.9914273468  1.0000000000  0.9905700814  1.0000000000  0.9897128161  9800.0000000  0.0001374991  9800          0.1693540645 
1.0000000000  0.9849978568  1.0000000000  0.9909987141  1.0000000000  0.9888555508  0.9920719949  0.9914273468  1.0000000000  0.9905700814  1.0000000000  0.9892841835  9900.0000000  0.0001306632  9900          0.1691876674 
